day,month,year,site,temp_c,datetime
1,1,2003,Schoodic,4.8875,2003-01-01
1,1,2014,NW Appledore,4.155271990740741,2014-01-01
1,1,2015,Baker North,6.744965277777777,2015-01-01
1,1,2015,Baker South,6.519299768518518,2015-01-01
1,1,2015,Calf Island,5.781730324074074,2015-01-01
1,1,2015,Little Brewster,5.462291666666667,2015-01-01
1,1,2015,NE Appledore,6.8002314814814815,2015-01-01
1,1,2015,NW Appledore,6.384988425925926,2015-01-01
1,1,2015,SW Appledore,6.459189814814815,2015-01-01
1,1,2016,Nubble Lighthouse,7.1540625,2016-01-01
1,1,2017,Fort Weatherhill,7.036307870370369,2017-01-01
1,1,2017,SW Appledore,7.873892361111111,2017-01-01
1,1,2018,Fort Weatherhill,6.139212962962963,2018-01-01
1,1,2018,Hurricane Island,3.955358796296297,2018-01-01
1,1,2019,Fort Weatherhill,7.558750000000002,2019-01-01
1,1,2019,Hurricane Island,4.888773148148149,2019-01-01
1,1,2019,Pemaquid,5.090648148148148,2019-01-01
1,1,2019,SW Appledore,6.263645833333333,2019-01-01
1,1,2020,Fort Weatherhill,5.793645833333334,2020-01-01
1,1,2020,Hurricane Island,5.068865740740741,2020-01-01
1,2,2003,Schoodic,2.98,2003-02-01
1,2,2014,NW Appledore,4.088142361111111,2014-02-01
1,2,2015,Baker North,3.4737384259259256,2015-02-01
1,2,2015,Baker South,3.9426851851851845,2015-02-01
1,2,2015,Calf Island,1.5954340277777779,2015-02-01
1,2,2015,Little Brewster,1.0586342592592595,2015-02-01
1,2,2015,NE Appledore,4.692251157407407,2015-02-01
1,2,2015,NW Appledore,4.609918981481481,2015-02-01
1,2,2015,SW Appledore,4.510243055555555,2015-02-01
1,2,2016,Nubble Lighthouse,4.565729166666667,2016-02-01
1,2,2017,Fort Weatherhill,4.9188425925925925,2017-02-01
1,2,2017,SW Appledore,5.274385416666667,2017-02-01
1,2,2018,Fort Weatherhill,3.592766203703703,2018-02-01
1,2,2018,Hurricane Island,2.8344097222222233,2018-02-01
1,2,2019,Fort Weatherhill,4.5282175925925925,2019-02-01
1,2,2019,Hurricane Island,1.4847685185185193,2019-02-01
1,2,2019,Pemaquid,2.053854166666666,2019-02-01
1,2,2019,SW Appledore,3.0813125,2019-02-01
1,2,2020,Hurricane Island,3.958738425925926,2020-02-01
1,3,2003,Schoodic,1.6400000000000001,2003-03-01
1,3,2014,NW Appledore,2.3079918981481486,2014-03-01
1,3,2015,Baker North,0.5457754629629623,2015-03-01
1,3,2015,Baker South,0.8415798611111115,2015-03-01
1,3,2015,Calf Island,-0.17617476851851824,2015-03-01
1,3,2015,Little Brewster,-0.5119791666666664,2015-03-01
1,3,2015,NE Appledore,1.8147164351851846,2015-03-01
1,3,2015,NW Appledore,1.7043344907407405,2015-03-01
1,3,2015,SW Appledore,1.71787037037037,2015-03-01
1,3,2016,Nubble Lighthouse,4.258744212962963,2016-03-01
1,3,2017,Fort Weatherhill,5.076157407407408,2017-03-01
1,3,2017,SW Appledore,4.673555555555556,2017-03-01
1,3,2018,Fort Weatherhill,3.6037731481481474,2018-03-01
1,3,2018,Hurricane Island,3.4934259259259264,2018-03-01
1,3,2019,Fort Weatherhill,3.8991319444444437,2019-03-01
1,3,2019,Hurricane Island,0.975914351851852,2019-03-01
1,3,2019,Pemaquid,2.9606018518518518,2019-03-01
1,3,2019,SW Appledore,2.4766458333333334,2019-03-01
1,3,2020,Hurricane Island,2.911689814814815,2020-03-01
1,4,2003,Schoodic,1.74,2003-04-01
1,4,2014,NW Appledore,2.7202835648148147,2014-04-01
1,4,2015,Baker North,2.72125,2015-04-01
1,4,2015,Baker South,2.92861111111111,2015-04-01
1,4,2015,Calf Island,2.6858796296296297,2015-04-01
1,4,2015,Little Brewster,2.699016203703703,2015-04-01
1,4,2015,NE Appledore,2.7978125,2015-04-01
1,4,2015,NW Appledore,2.7811458333333334,2015-04-01
1,4,2015,SW Appledore,2.819131944444444,2015-04-01
1,4,2016,Nubble Lighthouse,4.525787037037038,2016-04-01
1,4,2017,Fort Weatherhill,4.0391203703703695,2017-04-01
1,4,2017,SW Appledore,3.8084166666666666,2017-04-01
1,4,2018,Fort Weatherhill,4.767893518518518,2018-04-01
1,4,2018,Hurricane Island,4.167476851851853,2018-04-01
1,4,2019,Fort Weatherhill,5.518020833333334,2019-04-01
1,4,2019,Hurricane Island,3.097719907407408,2019-04-01
1,4,2019,Pemaquid,3.3672222222222223,2019-04-01
1,4,2019,SW Appledore,4.182854166666667,2019-04-01
1,4,2020,Hurricane Island,4.255497685185185,2020-04-01
1,5,2003,Schoodic,3.8241666666666667,2003-05-01
1,5,2014,NW Appledore,6.172349537037036,2014-05-01
1,5,2015,Baker North,7.580028935185187,2015-05-01
1,5,2015,Baker South,7.719531250000002,2015-05-01
1,5,2015,Calf Island,7.387864583333334,2015-05-01
1,5,2015,Little Brewster,7.5187847222222235,2015-05-01
1,5,2015,NE Appledore,6.898119212962962,2015-05-01
1,5,2015,NW Appledore,6.616319444444445,2015-05-01
1,5,2015,SW Appledore,6.6743807870370375,2015-05-01
1,5,2016,Nubble Lighthouse,5.982962962962963,2016-05-01
1,5,2017,Fort Weatherhill,9.644479166666667,2017-05-01
1,5,2017,SW Appledore,6.961829861111111,2017-05-01
1,5,2018,Fort Weatherhill,6.944699074074075,2018-05-01
1,5,2018,Hurricane Island,6.050057870370371,2018-05-01
1,5,2019,Fort Weatherhill,8.487523148148147,2019-05-01
1,5,2019,Hurricane Island,5.560636574074074,2019-05-01
1,5,2019,Pemaquid,5.754664351851852,2019-05-01
1,5,2019,SW Appledore,6.840583333333333,2019-05-01
1,5,2020,Hurricane Island,5.8497106481481485,2020-05-01
1,6,2003,Schoodic,6.2283333333333335,2003-06-01
1,6,2014,NW Appledore,9.739195601851852,2014-06-01
1,6,2015,Baker North,8.134369212962962,2015-06-01
1,6,2015,Baker South,8.32134837962963,2015-06-01
1,6,2015,Calf Island,9.61799189814815,2015-06-01
1,6,2015,Little Brewster,9.445185185185185,2015-06-01
1,6,2015,NE Appledore,8.39398148148148,2015-06-01
1,6,2015,NW Appledore,7.42296875,2015-06-01
1,6,2015,SW Appledore,7.648188657407407,2015-06-01
1,6,2016,Nubble Lighthouse,12.383252314814815,2016-06-01
1,6,2017,Fort Weatherhill,13.89787037037037,2017-06-01
1,6,2017,Nubble Lighthouse,8.182991898148149,2017-06-01
1,6,2017,SW Appledore,9.915753472222223,2017-06-01
1,6,2018,Fort Weatherhill,14.083472222222222,2018-06-01
1,6,2018,Hurricane Island,9.352395833333334,2018-06-01
1,6,2019,Fort Weatherhill,13.402986111111112,2019-06-01
1,6,2019,Hurricane Island,8.445694444444445,2019-06-01
1,6,2019,Pemaquid,10.093020833333334,2019-06-01
1,6,2019,SW Appledore,10.462083333333334,2019-06-01
1,7,2003,Schoodic,9.090416666666666,2003-07-01
1,7,2014,Baker North,10.038738425925926,2014-07-01
1,7,2014,NW Appledore,11.722274305555555,2014-07-01
1,7,2015,Baker North,15.33650462962963,2015-07-01
1,7,2015,Baker South,14.927285879629629,2015-07-01
1,7,2015,Calf Island,15.808408564814815,2015-07-01
1,7,2015,Little Brewster,16.316203703703703,2015-07-01
1,7,2015,NE Appledore,14.118686342592593,2015-07-01
1,7,2015,NW Appledore,15.000746527777778,2015-07-01
1,7,2015,SW Appledore,15.189415509259259,2015-07-01
1,7,2016,Nubble Lighthouse,10.298657407407408,2016-07-01
1,7,2017,Fort Weatherhill,16.466643518518516,2017-07-01
1,7,2017,Nubble Lighthouse,8.752800925925925,2017-07-01
1,7,2017,SW Appledore,10.726114583333333,2017-07-01
1,7,2018,Fort Weatherhill,17.79741898148148,2018-07-01
1,7,2018,Hurricane Island,12.084953703703704,2018-07-01
1,7,2019,Fort Weatherhill,17.771666666666665,2019-07-01
1,7,2019,Hurricane Island,11.53162216698682,2019-07-01
1,7,2019,Pemaquid,14.396342592592593,2019-07-01
1,7,2019,SW Appledore,13.149229166666666,2019-07-01
1,7,2020,Hurricane Island,12.406164363578513,2020-07-01
1,8,2003,Schoodic,10.715416666666666,2003-08-01
1,8,2013,NW Appledore,16.973975694444444,2013-08-01
1,8,2014,Baker North,17.45792824074074,2014-08-01
1,8,2014,Baker South,23.519849537037036,2014-08-01
1,8,2014,Calf Island,23.02519097222222,2014-08-01
1,8,2014,NE Appledore,13.843472222222223,2014-08-01
1,8,2014,NW Appledore,13.927037037037037,2014-08-01
1,8,2014,SW Appledore,13.725219907407407,2014-08-01
1,8,2015,NE Appledore,14.368582175925926,2015-08-01
1,8,2015,NW Appledore,15.420914351851852,2015-08-01
1,8,2015,SW Appledore,15.551290509259259,2015-08-01
1,8,2016,Nubble Lighthouse,14.910960648148148,2016-08-01
1,8,2017,Fort Weatherhill,19.081828703703703,2017-08-01
1,8,2017,Nubble Lighthouse,13.585532407407408,2017-08-01
1,8,2017,SW Appledore,17.864604166666666,2017-08-01
1,8,2018,Fort Weatherhill,21.01837962962963,2018-08-01
1,8,2018,Hurricane Island,14.557986111111111,2018-08-01
1,8,2018,Pemaquid,15.692233796296296,2018-08-01
1,8,2019,Fort Weatherhill,19.670694444444443,2019-08-01
1,8,2019,Hurricane Island,13.734289164896365,2019-08-01
1,8,2019,SW Appledore,14.458,2019-08-01
1,8,2020,Hurricane Island,14.504708802258527,2020-08-01
