day,month,year,site,temp_c_logger,datetime,Latitude,Longitude,temp_c_mur
1,1,2003,Schoodic,4.8875,2003-01-01,44.3490522508088,-68.0311047885212,4.809999999999999
1,1,2014,NW Appledore,4.155271990740741,2014-01-01,42.99228,-70.615825,5.253
1,1,2015,Baker North,6.744965277777777,2015-01-01,42.5370316,-70.7919065,5.376999999999999
1,1,2015,Baker South,6.519299768518518,2015-01-01,42.53251,-70.78163,5.513999999999999
1,1,2015,Calf Island,5.781730324074074,2015-01-01,42.3412005661599,-70.8934798651064,5.3969999999999985
1,1,2015,Little Brewster,5.462291666666667,2015-01-01,42.32733,-70.8883,5.355
1,1,2015,NE Appledore,6.8002314814814815,2015-01-01,42.992180000000005,-70.615725,6.6905
1,1,2015,NW Appledore,6.384988425925926,2015-01-01,42.99228,-70.615825,6.6905
1,1,2015,SW Appledore,6.459189814814815,2015-01-01,42.984276666666666,-70.61786666666667,6.599
1,1,2016,Nubble Lighthouse,7.1540625,2016-01-01,43.166466,-70.592358,6.972999999999999
1,1,2017,Fort Weatherhill,7.036307870370369,2017-01-01,41.477214540758816,-71.36642105465246,8.09
1,1,2017,SW Appledore,7.873892361111111,2017-01-01,42.984276666666666,-70.61786666666667,7.783000000000001
1,1,2018,Fort Weatherhill,6.139212962962963,2018-01-01,41.477214540758816,-71.36642105465246,6.026
1,1,2018,Hurricane Island,3.955358796296297,2018-01-01,44.04039,-68.89153,4.248999999999999
1,1,2019,Fort Weatherhill,7.558750000000002,2019-01-01,41.477214540758816,-71.36642105465246,7.076999999999998
1,1,2019,Hurricane Island,4.888773148148149,2019-01-01,44.04039,-68.89153,5.0539999999999985
1,1,2019,SW Appledore,6.263645833333333,2019-01-01,42.984276666666666,-70.61786666666667,6.741
1,1,2020,Fort Weatherhill,5.793645833333334,2020-01-01,41.477214540758816,-71.36642105465246,5.922999999999998
1,1,2020,Hurricane Island,5.068865740740741,2020-01-01,44.04039,-68.89153,6.533000000000001
1,2,2003,Schoodic,2.98,2003-02-01,44.3490522508088,-68.0311047885212,2.152000000000001
1,2,2014,NW Appledore,4.088142361111111,2014-02-01,42.99228,-70.615825,3.885
